,Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot
69,Masters,2017,Bangalore,3,40,Female,No,2,True
70,Bachelors,2018,Bangalore,3,23,Female,No,1,True
71,Masters,2017,Bangalore,3,31,Male,No,4,False
72,Bachelors,2014,Pune,3,25,Female,No,3,False
73,Bachelors,2014,Bangalore,1,27,Male,No,5,False
74,Masters,2017,New Delhi,2,25,Female,No,3,True
75,Bachelors,2015,Bangalore,3,40,Male,No,0,True
76,Bachelors,2014,Bangalore,1,23,Female,No,1,False
77,Bachelors,2017,Bangalore,3,23,Female,No,1,False
78,Bachelors,2012,Bangalore,3,39,Male,No,1,False
79,PHD,2015,New Delhi,1,37,Male,No,1,False
80,Bachelors,2017,Pune,3,38,Male,No,2,False
81,Bachelors,2013,Bangalore,3,31,Female,No,0,True
82,Bachelors,2016,Bangalore,3,38,Male,No,5,False
83,Bachelors,2017,Bangalore,3,25,Female,No,3,False
84,Bachelors,2015,Bangalore,3,27,Female,Yes,5,True
85,Bachelors,2016,Pune,2,36,Male,No,0,True
86,Bachelors,2017,Pune,2,27,Female,No,5,True
87,Masters,2015,Pune,2,32,Female,No,4,False
88,Bachelors,2014,Bangalore,3,28,Male,No,4,False
89,Masters,2012,New Delhi,3,32,Male,No,2,False
90,Bachelors,2018,Bangalore,3,30,Male,No,0,True
91,Bachelors,2015,New Delhi,3,22,Male,No,0,False
92,Bachelors,2017,New Delhi,2,34,Female,No,5,False
93,Masters,2013,New Delhi,3,36,Male,No,2,False
94,Bachelors,2014,Bangalore,3,39,Male,No,3,True
95,PHD,2018,Bangalore,3,26,Male,No,4,True
96,Bachelors,2016,Bangalore,3,31,Female,No,0,False
97,Bachelors,2014,Bangalore,3,27,Male,No,5,True
98,Bachelors,2014,Bangalore,3,29,Female,No,0,False
99,Bachelors,2015,Bangalore,3,24,Female,No,2,True
100,Masters,2012,Pune,3,25,Male,No,3,True
101,Bachelors,2013,Pune,3,25,Male,No,3,False
102,Masters,2017,New Delhi,3,26,Female,No,4,True
103,Bachelors,2015,Pune,2,28,Female,Yes,1,True
104,Bachelors,2017,New Delhi,3,28,Male,No,2,False
105,Masters,2015,Pune,1,28,Female,No,3,True
106,Masters,2015,New Delhi,3,25,Male,No,3,False
107,Bachelors,2017,Bangalore,3,28,Male,No,1,False
108,Masters,2013,Pune,3,25,Male,No,3,False
109,Bachelors,2015,Bangalore,2,25,Female,No,3,True
110,Bachelors,2015,Bangalore,3,27,Female,No,5,False
111,Bachelors,2017,Pune,2,27,Female,No,5,True
112,Bachelors,2013,Bangalore,3,27,Male,No,5,True
113,Bachelors,2012,Bangalore,3,25,Male,No,3,False
114,Masters,2017,New Delhi,2,28,Male,No,2,False
115,Bachelors,2014,Pune,1,26,Female,No,4,True
116,Bachelors,2015,Bangalore,3,28,Male,No,2,False
117,Masters,2013,New Delhi,3,26,Male,No,4,False
118,Bachelors,2017,Bangalore,3,26,Female,No,4,False
119,Bachelors,2017,New Delhi,2,25,Male,No,3,False
120,Bachelors,2012,Bangalore,1,28,Female,No,3,False
121,PHD,2015,New Delhi,3,26,Male,No,4,False
122,Bachelors,2015,New Delhi,3,25,Female,No,3,False
123,Bachelors,2012,Bangalore,3,26,Male,No,4,True
124,Bachelors,2014,Bangalore,3,28,Female,No,3,False
125,Masters,2014,Pune,3,24,Male,No,2,False
126,Bachelors,2013,Bangalore,3,28,Male,No,1,False
127,Bachelors,2015,Pune,3,27,Male,No,5,False
128,Bachelors,2018,Bangalore,3,25,Male,No,3,True
129,Masters,2013,Pune,1,24,Male,No,2,True
130,Bachelors,2017,Bangalore,3,26,Female,No,4,False
131,Bachelors,2013,Bangalore,3,28,Male,No,1,True
132,Masters,2016,New Delhi,3,27,Male,No,5,False
133,Masters,2017,Bangalore,3,26,Male,No,4,False
134,Masters,2017,New Delhi,2,24,Male,No,2,False
135,Masters,2018,New Delhi,3,26,Male,No,4,True
136,Masters,2017,New Delhi,1,25,Female,No,3,True
137,Bachelors,2012,Pune,3,28,Male,No,2,False
138,Bachelors,2017,New Delhi,3,28,Male,No,2,False
139,Bachelors,2013,Bangalore,3,26,Male,No,4,False
140,Masters,2013,New Delhi,3,27,Male,No,5,True
141,Bachelors,2017,Pune,2,24,Female,No,2,True
142,Bachelors,2017,New Delhi,3,28,Female,No,2,False
143,Bachelors,2016,Bangalore,3,26,Male,No,4,False
144,Bachelors,2013,Bangalore,3,27,Female,No,5,False
145,Masters,2015,Pune,2,28,Female,No,3,False
146,Bachelors,2014,Bangalore,3,25,Male,No,3,False
147,Bachelors,2016,Pune,3,28,Male,No,1,False
148,Masters,2013,Bangalore,1,25,Male,No,3,True
149,Bachelors,2015,Pune,3,26,Male,No,4,False
150,Bachelors,2018,New Delhi,3,27,Female,No,5,True
151,Bachelors,2016,Bangalore,3,24,Male,No,2,True
152,Bachelors,2012,Pune,2,24,Female,No,2,True
153,Bachelors,2014,Bangalore,3,26,Male,No,4,False
154,Bachelors,2016,Pune,2,24,Female,No,2,True
155,Masters,2012,New Delhi,3,26,Female,No,4,False
156,Bachelors,2013,Bangalore,3,28,Female,No,3,False
157,Bachelors,2012,Bangalore,3,24,Male,No,2,True
158,Bachelors,2015,Bangalore,3,25,Male,No,3,True
159,Bachelors,2016,Bangalore,3,28,Male,No,3,False
160,Bachelors,2014,Bangalore,3,28,Female,No,3,False
161,Bachelors,2013,Bangalore,3,26,Female,No,4,False
162,Masters,2017,New Delhi,3,24,Female,No,2,True
163,Bachelors,2016,Bangalore,3,25,Male,No,3,True
164,Bachelors,2015,Bangalore,3,25,Male,No,3,False
165,Bachelors,2014,Bangalore,3,27,Male,No,5,False
166,Bachelors,2012,Bangalore,3,24,Male,No,2,False
167,Bachelors,2014,Bangalore,3,25,Male,No,3,False
168,Bachelors,2015,Bangalore,3,28,Male,No,3,False
169,Masters,2015,New Delhi,3,26,Male,No,4,True
170,Bachelors,2014,New Delhi,3,28,Female,No,1,False
171,Bachelors,2015,Pune,3,25,Male,No,3,False
172,Masters,2015,Pune,2,28,Female,No,2,False
173,Bachelors,2014,Bangalore,3,27,Female,No,5,False
174,Bachelors,2013,Bangalore,3,26,Male,No,4,False
175,Bachelors,2016,Bangalore,3,26,Male,No,4,False
176,Bachelors,2012,Bangalore,3,25,Male,No,3,False
177,Bachelors,2015,Bangalore,3,25,Male,No,3,False
178,Bachelors,2014,New Delhi,3,24,Female,No,2,False
179,Bachelors,2012,Bangalore,3,27,Male,No,5,True
180,Masters,2017,New Delhi,3,27,Male,No,5,True
181,Bachelors,2015,Pune,3,27,Male,No,5,False
182,Bachelors,2018,Bangalore,3,24,Male,No,2,True
183,Masters,2017,New Delhi,3,27,Male,No,5,True
184,Masters,2017,New Delhi,2,28,Female,No,1,True
185,Masters,2017,Pune,2,24,Male,No,2,True
186,Masters,2016,New Delhi,3,25,Female,No,3,True
187,PHD,2015,New Delhi,3,28,Female,No,1,False
188,Bachelors,2017,New Delhi,2,26,Male,No,4,False
189,Bachelors,2013,Bangalore,2,27,Male,No,5,False
190,Bachelors,2015,Bangalore,3,26,Male,No,4,False
191,Bachelors,2015,Bangalore,3,26,Male,No,4,False
192,Bachelors,2013,Bangalore,3,28,Male,No,1,False
193,Bachelors,2015,Bangalore,3,27,Female,No,5,False
194,Bachelors,2013,New Delhi,3,25,Female,No,3,False
195,Bachelors,2013,Pune,3,28,Male,No,1,False
196,Bachelors,2017,Pune,3,24,Male,No,2,False
197,Bachelors,2013,New Delhi,3,27,Female,No,5,False
198,Bachelors,2015,Bangalore,3,28,Male,Yes,2,False
199,Bachelors,2015,Pune,3,28,Male,No,3,False
200,Bachelors,2014,Pune,2,25,Female,No,3,True
201,Bachelors,2014,Bangalore,3,25,Male,No,3,False
202,Bachelors,2017,Bangalore,3,27,Male,No,5,False
203,Bachelors,2014,Pune,2,26,Female,No,4,True
204,PHD,2013,New Delhi,3,24,Male,No,2,False
205,Bachelors,2015,Pune,2,26,Female,No,4,True
206,Bachelors,2017,Bangalore,3,25,Male,No,3,False
207,Masters,2013,Pune,2,27,Male,No,5,True
208,Masters,2017,Bangalore,3,28,Male,No,2,False
209,Bachelors,2012,Bangalore,3,25,Male,No,3,True
210,Bachelors,2017,Bangalore,3,27,Male,No,5,False
211,Masters,2017,Pune,2,27,Female,No,5,False
212,Masters,2013,Bangalore,2,28,Female,No,2,True
213,Masters,2017,Pune,3,28,Male,No,1,True
214,Bachelors,2018,Bangalore,3,27,Female,No,5,True
215,Bachelors,2014,New Delhi,3,25,Female,No,3,False
216,Masters,2017,New Delhi,3,27,Male,No,5,True
217,Masters,2013,New Delhi,3,26,Male,No,4,True
218,Bachelors,2013,Pune,2,25,Female,No,3,True
219,Masters,2012,New Delhi,3,26,Male,No,4,True
220,Bachelors,2016,Bangalore,3,25,Male,No,3,True
221,Bachelors,2013,Pune,2,26,Male,No,4,False
222,Bachelors,2018,Bangalore,3,28,Female,No,2,True
223,Bachelors,2013,Bangalore,3,27,Male,No,5,False
224,Bachelors,2015,Pune,1,24,Female,Yes,2,True
225,Bachelors,2013,Pune,3,28,Male,No,2,False
226,Bachelors,2015,Pune,2,27,Female,Yes,5,True
227,Bachelors,2018,Bangalore,3,25,Male,No,3,True
228,Bachelors,2014,Pune,2,27,Female,No,5,True
229,Bachelors,2013,Pune,3,24,Male,No,2,False
230,Bachelors,2014,Pune,3,24,Male,No,2,False
231,PHD,2015,New Delhi,2,25,Female,No,3,False
232,Bachelors,2014,Bangalore,3,26,Male,Yes,4,False
233,Bachelors,2018,Bangalore,3,24,Male,No,2,True
234,Masters,2015,Pune,2,25,Female,No,3,False
235,Bachelors,2015,Bangalore,3,24,Male,No,2,False
236,Bachelors,2014,New Delhi,3,24,Female,No,2,False
237,Masters,2017,Bangalore,2,26,Female,No,4,True
238,Bachelors,2012,New Delhi,3,28,Male,No,1,False
239,Masters,2017,Pune,2,26,Female,No,4,False
240,Bachelors,2016,Pune,3,25,Male,No,3,False
241,Bachelors,2017,New Delhi,3,24,Male,No,2,True
242,Bachelors,2013,Pune,2,28,Female,No,3,True
243,Bachelors,2014,Bangalore,3,25,Female,No,3,True
244,Bachelors,2014,Bangalore,3,25,Male,No,3,False
245,Bachelors,2014,Pune,2,24,Female,No,2,True
246,Bachelors,2015,Bangalore,3,28,Male,No,2,True
247,Bachelors,2015,Bangalore,3,27,Male,No,5,False
248,Bachelors,2016,Pune,3,26,Male,No,4,False
249,Masters,2015,New Delhi,3,26,Female,No,4,True
250,Bachelors,2016,Bangalore,1,28,Female,No,2,False
251,Bachelors,2014,Bangalore,3,25,Male,Yes,3,False
252,Bachelors,2014,Bangalore,3,27,Male,No,5,False
253,Bachelors,2017,Bangalore,3,28,Male,No,2,False
254,Masters,2018,New Delhi,3,24,Female,Yes,2,True
255,Bachelors,2017,Pune,2,25,Male,No,3,False
256,Bachelors,2018,Pune,2,24,Female,No,2,True
257,Masters,2017,New Delhi,2,28,Female,No,1,False
258,Bachelors,2013,New Delhi,1,27,Female,No,5,False
259,Bachelors,2017,New Delhi,2,27,Female,No,5,False
260,Bachelors,2017,Bangalore,3,28,Male,No,1,False
261,Bachelors,2016,Pune,2,27,Female,No,5,True
262,Masters,2018,Bangalore,3,24,Male,No,2,True
263,Bachelors,2012,Pune,1,26,Male,No,4,False
264,Bachelors,2016,Bangalore,3,26,Male,No,4,False
265,Masters,2016,New Delhi,1,27,Male,No,5,False
266,Bachelors,2015,New Delhi,3,26,Female,No,4,False
267,Bachelors,2012,Bangalore,3,27,Male,Yes,5,False
268,Bachelors,2013,Bangalore,3,24,Male,Yes,2,True
269,Bachelors,2018,Bangalore,3,26,Female,No,4,True
270,Masters,2017,Pune,2,26,Female,No,4,True
271,Masters,2017,New Delhi,2,28,Female,No,2,False
272,Bachelors,2013,Pune,3,28,Male,No,1,False
273,Masters,2013,New Delhi,3,25,Male,No,3,False
274,Bachelors,2018,Bangalore,3,28,Female,Yes,1,True
275,Bachelors,2013,Pune,3,27,Female,No,5,True
276,Bachelors,2012,Bangalore,3,25,Male,No,3,False
277,Bachelors,2014,Bangalore,3,28,Male,No,1,False
278,Bachelors,2017,New Delhi,3,28,Female,No,3,False
279,Masters,2017,New Delhi,2,28,Male,Yes,2,False
280,Bachelors,2014,Bangalore,3,25,Male,No,3,False
281,Masters,2017,New Delhi,3,26,Male,No,4,False
282,Bachelors,2015,Pune,1,25,Female,No,3,True
283,Masters,2013,New Delhi,3,27,Male,No,5,False
284,PHD,2014,Bangalore,3,24,Female,No,2,False
285,Masters,2017,New Delhi,2,27,Female,No,5,False
286,Bachelors,2018,Bangalore,3,26,Male,No,4,True
287,Bachelors,2012,Bangalore,3,26,Male,No,4,False
288,Masters,2015,Pune,3,27,Female,No,5,True
289,Bachelors,2018,Bangalore,3,26,Male,No,4,True
290,Bachelors,2016,Bangalore,3,24,Male,No,2,False
291,Masters,2017,New Delhi,2,25,Female,No,3,False
292,Bachelors,2017,New Delhi,2,28,Male,No,1,False
293,Bachelors,2012,New Delhi,3,27,Female,No,5,False
294,Masters,2013,New Delhi,3,26,Male,No,4,True
295,Bachelors,2015,Bangalore,3,26,Female,Yes,4,True
296,Bachelors,2014,Pune,3,28,Male,No,2,False
297,Bachelors,2016,Bangalore,3,24,Female,No,2,True
298,Bachelors,2012,Bangalore,3,28,Male,No,3,False
299,Bachelors,2012,Bangalore,3,27,Male,No,5,False
300,Bachelors,2013,Bangalore,3,26,Male,No,4,False
301,Bachelors,2014,New Delhi,3,28,Female,No,1,False
302,Bachelors,2014,New Delhi,3,27,Female,Yes,5,False
303,Bachelors,2015,Pune,3,26,Female,Yes,4,True
304,Masters,2014,New Delhi,3,26,Male,No,4,True
305,PHD,2015,New Delhi,3,25,Female,No,3,False
306,Masters,2015,New Delhi,3,25,Male,No,3,False
307,Bachelors,2012,Pune,3,27,Male,No,5,False
308,Masters,2017,New Delhi,2,24,Female,No,2,False
309,Bachelors,2016,Bangalore,3,24,Male,No,2,False
310,Masters,2015,Pune,3,28,Female,No,2,False
311,Bachelors,2017,Bangalore,3,24,Female,No,2,False
312,Bachelors,2017,Pune,3,25,Male,No,3,False
313,Bachelors,2017,Bangalore,1,25,Male,No,3,False
314,Masters,2015,Pune,3,28,Female,No,2,False
315,Bachelors,2017,Pune,3,26,Male,No,4,False
316,Bachelors,2014,Pune,3,24,Male,No,2,False
317,Bachelors,2014,Pune,3,25,Female,No,3,True
318,Bachelors,2018,Pune,3,26,Female,No,4,True
319,Bachelors,2016,Bangalore,3,27,Male,No,5,False
320,Bachelors,2017,Bangalore,3,28,Female,No,2,False
321,Bachelors,2012,Pune,3,28,Male,No,2,False
322,Masters,2012,New Delhi,3,24,Female,No,2,True
323,Bachelors,2013,Bangalore,3,26,Male,No,4,False
324,Bachelors,2015,New Delhi,3,26,Female,Yes,4,False
325,Bachelors,2017,Bangalore,3,28,Male,No,1,False
326,Bachelors,2018,Pune,3,25,Male,Yes,3,True
327,Masters,2017,New Delhi,3,24,Male,No,2,False
328,Bachelors,2013,Bangalore,3,28,Male,No,2,True
329,Bachelors,2017,Bangalore,3,24,Male,No,2,False
330,Masters,2017,New Delhi,2,25,Female,No,3,True
331,Bachelors,2013,Pune,2,28,Female,No,1,True
332,Bachelors,2015,Bangalore,3,24,Female,No,2,False
333,Bachelors,2016,Pune,3,26,Male,No,4,False
334,Bachelors,2015,New Delhi,2,27,Female,No,5,True
335,Bachelors,2018,Bangalore,3,24,Female,No,2,True
336,Bachelors,2013,Bangalore,3,27,Female,No,5,False
337,Bachelors,2013,Bangalore,3,24,Male,Yes,2,False
338,Bachelors,2013,Bangalore,3,24,Female,No,2,False
339,Bachelors,2013,Bangalore,3,27,Male,No,5,False
340,Bachelors,2017,Bangalore,3,26,Female,No,4,False
341,Bachelors,2015,Bangalore,3,24,Female,No,2,False
342,Bachelors,2012,Pune,3,24,Female,No,2,True
343,Bachelors,2016,Bangalore,3,24,Male,Yes,2,True
344,Bachelors,2012,Bangalore,3,28,Male,No,3,False
345,Bachelors,2017,New Delhi,2,27,Male,No,5,False
346,Bachelors,2012,Pune,2,27,Female,No,5,True
347,Masters,2017,Pune,2,27,Male,No,5,False
348,Bachelors,2017,Pune,2,24,Male,No,2,True
349,Bachelors,2016,Pune,1,26,Female,No,4,True
350,Bachelors,2015,Pune,3,26,Female,No,4,True
351,Bachelors,2016,Bangalore,3,25,Male,No,3,True
352,Bachelors,2012,Pune,3,26,Male,No,4,False
353,Bachelors,2017,Bangalore,3,28,Male,No,2,False
354,Bachelors,2012,Bangalore,3,25,Male,No,3,False
355,Bachelors,2017,Bangalore,3,25,Female,Yes,3,False
356,Masters,2017,Pune,2,26,Male,No,4,False
357,Masters,2017,Pune,3,28,Male,No,1,True
358,Masters,2015,Pune,2,25,Female,No,3,True
359,Bachelors,2017,New Delhi,2,26,Female,No,4,False
360,Bachelors,2017,New Delhi,2,26,Male,No,4,False
361,Bachelors,2016,Bangalore,3,27,Male,No,5,False
362,Bachelors,2017,New Delhi,3,27,Female,No,5,False
363,Bachelors,2015,New Delhi,3,24,Female,No,2,False
364,Masters,2017,Bangalore,1,26,Female,No,4,True
365,Bachelors,2017,New Delhi,1,28,Female,No,2,False
366,Bachelors,2015,Bangalore,3,24,Male,No,2,False
367,Masters,2015,Pune,2,25,Female,No,3,True
368,Bachelors,2014,Bangalore,3,25,Female,No,3,False
369,Bachelors,2014,Bangalore,3,28,Male,No,2,False
370,Bachelors,2017,Bangalore,3,28,Male,No,3,False
371,Masters,2015,New Delhi,1,27,Male,No,5,False
372,Bachelors,2014,Pune,1,26,Female,No,4,True
373,Masters,2018,Bangalore,3,25,Male,Yes,3,True
374,Bachelors,2016,Bangalore,3,28,Female,No,3,False
375,Bachelors,2018,New Delhi,3,26,Female,Yes,4,True
376,Bachelors,2015,Pune,2,24,Female,No,2,True
377,Bachelors,2017,Bangalore,3,27,Male,Yes,5,False
378,Bachelors,2014,Bangalore,3,26,Male,No,4,False
379,Bachelors,2014,Bangalore,3,24,Male,No,2,False
380,Bachelors,2016,Bangalore,3,28,Male,No,2,False
381,Bachelors,2015,Pune,2,25,Female,No,3,True
382,Bachelors,2013,Pune,3,27,Male,No,5,False
383,Bachelors,2015,Bangalore,3,28,Male,No,3,False
384,Bachelors,2014,Bangalore,3,26,Male,No,4,False
385,Bachelors,2012,Bangalore,3,24,Male,No,2,False
386,Bachelors,2013,Bangalore,3,27,Male,No,5,False
387,Bachelors,2015,Bangalore,3,26,Female,Yes,4,True
388,Bachelors,2015,Pune,3,28,Male,No,2,False
389,Bachelors,2014,New Delhi,2,24,Female,No,2,True
390,Bachelors,2013,Bangalore,3,24,Male,No,2,False
391,Bachelors,2018,Bangalore,3,28,Male,Yes,3,True
392,Bachelors,2015,Pune,3,27,Male,No,5,False
393,Bachelors,2014,Pune,2,26,Male,No,4,False
394,Bachelors,2016,Bangalore,3,25,Male,No,3,True
395,PHD,2013,Bangalore,3,25,Male,No,3,False
396,Bachelors,2014,Bangalore,3,25,Male,No,3,False
397,Bachelors,2017,New Delhi,2,28,Female,No,1,False
398,Bachelors,2015,Pune,1,26,Female,No,4,True
399,Masters,2017,New Delhi,3,26,Male,Yes,4,True
400,Bachelors,2014,Bangalore,3,27,Male,No,5,False
401,Bachelors,2012,New Delhi,3,24,Female,No,2,False
402,Bachelors,2017,New Delhi,2,24,Male,No,2,False
403,Bachelors,2015,Bangalore,3,26,Male,No,4,False
404,Bachelors,2012,Bangalore,3,26,Female,No,4,False
405,Bachelors,2015,Bangalore,3,24,Male,No,2,False
406,Masters,2014,Pune,3,25,Male,No,3,False
407,Bachelors,2015,Bangalore,3,28,Male,No,2,False
408,Bachelors,2016,Pune,3,24,Male,No,2,False
409,Bachelors,2016,Bangalore,3,26,Female,No,4,False
410,Bachelors,2015,Pune,2,25,Female,Yes,3,True
411,Masters,2013,New Delhi,2,25,Male,No,3,True
412,Bachelors,2017,Pune,3,25,Male,No,3,False
413,Bachelors,2015,Pune,2,26,Female,Yes,4,True
414,Masters,2015,Bangalore,2,26,Female,No,4,True
415,Bachelors,2012,Pune,3,27,Female,No,5,False
416,Masters,2017,New Delhi,3,28,Male,Yes,2,False
417,Bachelors,2016,Pune,3,25,Male,No,3,False
418,Bachelors,2016,Bangalore,3,24,Male,No,2,False
419,Bachelors,2016,Pune,3,28,Male,No,1,False
420,Bachelors,2013,New Delhi,3,27,Female,Yes,5,False
421,Bachelors,2015,New Delhi,3,26,Male,No,4,False
422,Bachelors,2016,Bangalore,3,27,Male,No,5,False
423,Bachelors,2017,Pune,2,27,Male,No,5,False
424,Bachelors,2012,Bangalore,3,27,Male,No,5,False
425,PHD,2018,New Delhi,3,25,Male,No,3,True
426,Bachelors,2014,Pune,3,27,Male,No,5,False
427,Bachelors,2013,Bangalore,3,26,Female,No,4,False
428,Masters,2017,Pune,2,24,Female,No,2,True
429,PHD,2016,New Delhi,2,28,Male,No,3,True
430,Masters,2014,New Delhi,3,26,Male,No,4,True
431,Masters,2017,New Delhi,2,27,Male,Yes,5,True
432,PHD,2013,New Delhi,3,27,Male,No,5,False
433,Masters,2014,New Delhi,3,28,Female,No,1,False
434,Bachelors,2017,Pune,3,27,Male,No,5,False
435,Bachelors,2015,Pune,3,26,Female,Yes,4,True
436,Masters,2014,Bangalore,3,26,Male,No,4,True
437,Masters,2012,Pune,3,27,Male,No,5,False
438,Bachelors,2017,Bangalore,3,26,Male,No,4,False
439,Masters,2017,Pune,2,27,Male,No,5,True
440,Bachelors,2017,Bangalore,3,27,Male,No,5,False
441,Bachelors,2016,Bangalore,3,25,Male,No,3,True
442,Bachelors,2016,Pune,3,27,Male,Yes,5,False
443,Bachelors,2014,Pune,3,25,Male,No,3,False
444,Bachelors,2017,Bangalore,3,28,Male,No,1,False
445,Masters,2012,Pune,3,24,Male,No,2,False
446,Bachelors,2014,Bangalore,3,25,Male,Yes,3,False
447,Bachelors,2013,Pune,2,25,Male,No,3,True
448,Bachelors,2012,Pune,3,27,Male,No,5,False
449,Bachelors,2017,Bangalore,3,26,Male,No,4,False
450,Bachelors,2013,Pune,3,26,Male,No,4,False
451,Bachelors,2016,Bangalore,3,24,Male,No,2,False
452,Bachelors,2014,Bangalore,3,25,Female,No,3,False
453,Bachelors,2015,New Delhi,3,25,Male,No,3,False
454,PHD,2012,Pune,3,24,Male,No,2,False
455,Bachelors,2013,Bangalore,3,27,Male,No,5,False
456,Bachelors,2015,Bangalore,3,25,Male,No,3,False
457,Bachelors,2016,Bangalore,3,26,Male,No,4,False
458,Masters,2015,New Delhi,3,24,Female,No,2,False
459,Bachelors,2012,Bangalore,3,26,Male,No,4,False
460,Bachelors,2013,Pune,3,24,Male,No,2,False
461,Masters,2017,New Delhi,3,24,Male,No,2,True
462,Bachelors,2014,Bangalore,1,25,Male,Yes,3,False
463,Bachelors,2018,Bangalore,3,28,Male,No,1,True
464,Bachelors,2017,Bangalore,3,28,Male,Yes,3,False
465,Masters,2013,Bangalore,3,28,Female,Yes,2,True
466,Bachelors,2013,Bangalore,3,26,Male,Yes,4,False
467,Masters,2018,New Delhi,1,24,Male,Yes,2,True
468,Bachelors,2012,Bangalore,3,25,Male,No,3,False
469,PHD,2013,New Delhi,2,27,Female,No,5,False
470,Masters,2018,New Delhi,3,28,Male,Yes,2,True
471,Bachelors,2014,Bangalore,3,28,Male,No,3,True
472,Bachelors,2014,Pune,3,27,Male,No,5,False
473,Bachelors,2013,New Delhi,3,24,Female,No,2,True
474,Bachelors,2015,Pune,2,28,Female,No,1,True
475,Bachelors,2015,Pune,2,26,Female,No,4,True
476,Bachelors,2017,New Delhi,2,28,Female,No,3,False
